goos: windows
goarch: amd64
pkg: jr_cache_compare
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkGetMiss/maypok86/otter/100000-24                     	38508933	        15.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/Yiling-J/theine/10000-24                     	12842520	        47.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/Yiling-J/theine/100000-24                    	 9916305	        61.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/bluele/gcache-LRU/10000-24                   	11439225	        51.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetMiss/bluele/gcache-LRU/100000-24                  	 9217255	        65.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetMiss/bluele/gcache-LFU/10000-24                   	11502206	        51.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetMiss/bluele/gcache-LFU/100000-24                  	 9144738	        65.21 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetMiss/allegro/bigcache/10000-24                    	23349664	        26.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/allegro/bigcache/100000-24                   	16785328	        35.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/coocood/freecache/10000-24                   	14746833	        41.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/coocood/freecache/100000-24                  	10710823	        55.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/patrickmn/go-cache/10000-24                  	37833406	        15.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/patrickmn/go-cache/100000-24                 	21551569	        27.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/orcaman/concurrent-map/10000-24              	24459645	        24.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/orcaman/concurrent-map/100000-24             	15341540	        38.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/jr_cache/ShardedMap/10000-24                 	20400738	        29.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetMiss/jr_cache/ShardedMap/100000-24                	14247820	        42.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/CacheMap-LRU/10000-24   	14639466	        40.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/CacheMap-LRU/100000-24  	13486903	        44.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/CacheMap-LFU/10000-24   	 4964154	       122.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/CacheMap-LFU/100000-24  	 3422332	       190.9 ns/op	       2 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/Sharded-LRU/10000-24    	 5124520	       103.5 ns/op	      21 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/Sharded-LRU/100000-24   	 4390776	       139.1 ns/op	      24 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/Sharded-LFU/10000-24    	 2955169	       218.3 ns/op	      22 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/Sharded-LFU/100000-24   	 2040294	       296.2 ns/op	      23 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/Sharded-LRU-global/10000-24         	 5747203	       103.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/Sharded-LRU-global/100000-24        	 4453284	       134.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/hashicorp/golang-lru/10000-24                	21200214	        33.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/hashicorp/golang-lru/100000-24               	14974804	        40.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/hashicorp/golang-lru-2Q/10000-24             	16079324	        37.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/hashicorp/golang-lru-2Q/100000-24            	12585915	        46.40 ns/op	       1 B/op	       0 allocs/op
